time,C,D,E,I,S,T
0.362699999999999, 2367.9244874, 6.5917029, 0.2438667, 666.8571622, 6513.0384762, 44.2748729
0.365799999999999, 2385.6698557, 6.7304323, 0.2459333, 672.7382804, 6489.2158931, 44.3596316
0.368899999999999, 2403.2502336, 6.8703723, 0.2480000, 678.5876666, 6465.5962371, 44.4364358
0.371999999999999, 2420.6671020, 7.0115162, 0.2500667, 684.4055681, 6442.1775556, 44.5055258
0.375099999999999, 2437.9219280, 7.1538576, 0.2521333, 690.1922301, 6418.9579151, 44.5671382
0.378199999999999, 2455.0161648, 7.2973902, 0.2542000, 695.9478953, 6395.9354018, 44.6215067
0.381299999999999, 2471.9512524, 7.4421074, 0.2562667, 701.6728042, 6373.1081209, 44.6688610
0.384399999999999, 2488.7286168, 7.5880031, 0.2583333, 707.3671950, 6350.4741973, 44.7094272
0.387499999999999, 2505.3496710, 7.7350709, 0.2604000, 713.0313039, 6328.0317756, 44.7434270
0.390599999999999, 2521.8158148, 7.8833047, 0.2624667, 718.6653647, 6305.7790197, 44.7710782
0.393699999999999, 2538.1284348, 8.0326982, 0.2645333, 724.2696090, 6283.7141130, 44.7925939
0.396799999999999, 2554.2889048, 8.1832453, 0.2666000, 729.8442665, 6261.8352585, 44.8081828
0.399899999999999, 2570.2985856, 8.3349399, 0.2686667, 735.3895645, 6240.1406784, 44.8180493
0.402999999999999, 2586.1588256, 8.4877761, 0.2707333, 740.9057284, 6218.6286142, 44.8223929
0.406099999999999, 2601.8709604, 8.6417478, 0.2728000, 746.3929814, 6197.2973266, 44.8214084
0.409199999999999, 2617.4363134, 8.7968490, 0.2748667, 751.8515447, 6176.1450953, 44.8152861
0.412299999999999, 2632.8561954, 8.9530740, 0.2769333, 757.2816373, 6155.1702189, 44.8042113
0.415399999999999, 2648.1319055, 9.1104167, 0.2790000, 762.6834765, 6134.3710148, 44.7883650
0.418499999999999, 2663.2647303, 9.2688715, 0.2810667, 768.0572774, 6113.7458187, 44.7679230
0.421599999999999, 2678.2559449, 9.4284326, 0.2831333, 773.4032531, 6093.2929851, 44.7430568
0.424699999999999, 2693.1068122, 9.5890942, 0.2852000, 778.7216149, 6073.0108864, 44.7139331
0.427799999999999, 2707.8185838, 9.7508507, 0.2872667, 784.0125720, 6052.8979132, 44.6807140
0.430899999999999, 2722.3924995, 9.9136965, 0.2893333, 789.2763318, 6032.9524739, 44.6435572
0.433999999999999, 2736.8297877, 10.0776259, 0.2914000, 794.5130998, 6013.1729946, 44.6026155
0.437099999999999, 2751.1316657, 10.2426334, 0.2934667, 799.7230797, 5993.5579187, 44.5580378
0.440199999999999, 2765.2993394, 10.4087135, 0.2955333, 804.9064732, 5974.1057070, 44.5099682
0.443299999999999, 2779.3340035, 10.5758607, 0.2976000, 810.0634802, 5954.8148372, 44.4585467
0.446399999999999, 2793.2368422, 10.7440697, 0.2996667, 815.1942989, 5935.6838039, 44.4039091
0.449499999999999, 2807.0090283, 10.9133350, 0.3017333, 820.2991257, 5916.7111184, 44.3461869
0.452599999999999, 2820.6517243, 11.0836513, 0.3038000, 825.3781552, 5897.8953082, 44.2855079
0.455699999999999, 2834.1660817, 11.2550133, 0.3058667, 830.4315801, 5879.2349171, 44.2219954
0.458799999999999, 2847.5532417, 11.4274157, 0.3079333, 835.4595917, 5860.7285049, 44.1557693
0.461899999999999, 2860.8143351, 11.6008533, 0.3100000, 840.4623793, 5842.3746472, 44.0869455
0.464999999999999, 2873.9504822, 11.7753210, 0.3120667, 845.4401306, 5824.1719350, 44.0156360
0.468099999999999, 2886.9627933, 11.9508135, 0.3141333, 850.3930316, 5806.1189748, 43.9419496
0.471199999999999, 2899.8523684, 12.1273258, 0.3162000, 855.3212667, 5788.2143882, 43.8659912
0.474299999999999, 2912.6202977, 12.3048528, 0.3182667, 860.2250187, 5770.4568116, 43.7878625
0.477399999999999, 2925.2676613, 12.4833895, 0.3203333, 865.1044687, 5752.8448962, 43.7076617
