,C,D,I,S,T
1.76, 305951.4442391, 9.7259239, 94.2535354, 72747.9957553, 8296.4159306
1.77, 307290.5455804, 9.8897054, 94.5661900, 71388.6376369, 8213.6569442
1.78, 308602.2646448, 10.0540163, 94.8693653, 70053.8641951, 8133.2769124
1.79, 309887.0983277, 10.2188407, 95.1632398, 68743.2907943, 8055.1716396
1.8, 311145.5356874, 10.3841625, 95.4479889, 67456.5349712, 7979.2424881
1.81, 312378.0579947, 10.5499663, 95.7237855, 66193.2167247, 7905.3960384
1.82, 313585.1387875, 10.7162366, 95.9907994, 64952.9587759, 7833.5437730
1.83, 314767.2439298, 10.8829585, 96.2491978, 63735.3868024, 7763.6017811
1.84, 315924.8316762, 11.0501173, 96.4991450, 62540.1296485, 7695.4904844
1.85, 317058.3527390, 11.2176985, 96.7408027, 61366.8195131, 7629.1343807
1.86, 318168.2503603, 11.3856879, 96.9743296, 60215.0921172, 7564.4618046
1.87, 319254.9603859, 11.5540718, 97.1998821, 59084.5868522, 7501.4047044
1.88, 320318.9113427, 11.7228364, 97.4176136, 57974.9469123, 7439.8984334
1.89, 321360.5245187, 11.8919684, 97.6276751, 56885.8194092, 7379.8815546
1.9, 322380.2140444, 12.0614547, 97.8302149, 55816.8554737, 7321.2956587
1.91, 323378.3869766, 12.2312825, 98.0253787, 54767.7103430, 7264.0851928
1.92, 324355.4433839, 12.4014391, 98.2133098, 53738.0434364, 7208.1973005
1.93, 325311.7764330, 12.5719122, 98.3941490, 52727.5184190, 7153.5816724
1.94, 326247.7724769, 12.7426897, 98.5680344, 51735.8032552, 7100.1904052
1.95, 327163.8111430, 12.9137597, 98.7351020, 50762.5702531, 7047.9778699
1.96, 328060.2654234, 13.0851105, 98.8954851, 49807.4960992, 6996.9005883
1.97, 328937.5017640, 13.2567309, 99.0493148, 48870.2618857, 6946.9171168
1.98, 329795.8801561, 13.4286094, 99.1967198, 47950.5531305, 6897.9879370
1.99, 330635.7542262, 13.6007353, 99.3378267, 47048.0597896, 6850.0753536
2, 331457.4713275, 13.7730977, 99.4727596, 46162.4762640, 6803.1433974
2.01, 332261.3726309, 13.9456860, 99.6016403, 45293.5014008, 6757.1577353
2.02, 333047.7932159, 14.1184901, 99.7245887, 44440.8384884, 6712.0855840
2.03, 333817.0621612, 14.2914996, 99.8417224, 43604.1952482, 6667.8956303
2.04, 334569.5026353, 14.4647048, 99.9531568, 42783.2838202, 6624.5579552
