,C,D,I,S,T
0.430899999999999, 2721.6507876, 9.9134778, 789.2531659, 6032.5827431, 44.6271135
0.433999999999999, 2736.0833921, 10.0774023, 794.4895782, 6012.7999649, 44.5862479
0.437099999999999, 2750.3805918, 10.2424049, 799.6991995, 5993.1815882, 44.5417459
0.440199999999999, 2764.5435924, 10.4084800, 804.8822313, 5973.7260737, 44.4937517
0.443299999999999, 2778.5735888, 10.5756222, 810.0388738, 5954.4318994, 44.4424052
0.446399999999999, 2792.4717649, 10.7438260, 815.1693250, 5935.2975599, 44.3878422
0.449499999999999, 2806.2392938, 10.9130861, 820.2737813, 5916.3215663, 44.3301944
0.452599999999999, 2819.8773376, 11.0833971, 825.3524373, 5897.5024463, 44.2695891
0.455699999999999, 2833.3870480, 11.2547537, 830.4054859, 5878.8387438, 44.2061501
0.458799999999999, 2846.7695661, 11.4271507, 835.4331181, 5860.3290186, 44.1399970
0.461899999999999, 2860.0260227, 11.6005828, 840.4355233, 5841.9718462, 44.0712458
0.464999999999999, 2873.1575381, 11.7750448, 845.4128894, 5823.7658178, 44.0000085
0.468099999999999, 2886.1652224, 11.9505317, 850.3654022, 5805.7095398, 43.9263938
0.471199999999999, 2899.0501759, 12.1270382, 855.2932462, 5787.8016339, 43.8505067
0.474299999999999, 2911.8134884, 12.3045594, 860.1966040, 5770.0407366, 43.7724488
0.477399999999999, 2924.4562402, 12.4830901, 865.0756569, 5752.4254991, 43.6923184
0.480499999999999, 2936.9795017, 12.6626254, 869.9305844, 5734.9545873, 43.6102103
0.483599999999999, 2949.3843335, 12.8431604, 874.7615642, 5717.6266812, 43.5262164
0.486699999999999, 2961.6717866, 13.0246901, 879.5687728, 5700.4404751, 43.4404255
0.489799999999999, 2973.8429026, 13.2072096, 884.3523850, 5683.3946770, 43.3529231
0.492899999999999, 2985.8987137, 13.3907141, 889.1125740, 5666.4880090, 43.2637922
0.495999999999999, 2997.8402426, 13.5751987, 893.8495116, 5649.7192064, 43.1731126
0.499099999999999, 3009.6685029, 13.7606588, 898.5633678, 5633.0870180, 43.0809614
0.502199999999999, 3021.3844990, 13.9470895, 903.2543116, 5616.5902057, 42.9874134
0.505299999999999, 3032.9892263, 14.1344861, 907.9225100, 5600.2275444, 42.8925403
0.508399999999999, 3044.4836712, 14.3228440, 912.5681290, 5583.9978219, 42.7964116
0.511499999999999, 3055.8688113, 14.5121584, 917.1913328, 5567.8998385, 42.6990942
0.514599999999999, 3067.1456154, 14.7024249, 921.7922843, 5551.9324071, 42.6006528
0.517699999999999, 3078.3150434, 14.8936389, 926.3711451, 5536.0943526, 42.5011497
0.520799999999999, 3089.3780469, 15.0857957, 930.9280751, 5520.3845124, 42.4006449
0.523899999999999, 3100.3355687, 15.2788909, 935.4632331, 5504.8017354, 42.2991966
0.526999999999999, 3111.1885434, 15.4729200, 939.9767764, 5489.3448828, 42.1968604
0.530099999999999, 3121.9378970, 15.6678786, 944.4688610, 5474.0128269, 42.0936902
0.533199999999999, 3132.5845473, 15.8637623, 948.9396414, 5458.8044519, 41.9897381
0.536299999999999, 3143.1294040, 16.0605666, 953.3892709, 5443.7186531, 41.8850539
0.539399999999999, 3153.5733684, 16.2582873, 957.8179015, 5428.7543369, 41.7796860
0.542499999999999, 3163.9173342, 16.4569200, 962.2256838, 5413.9104209, 41.6736806
0.545599999999999, 3174.1621866, 16.6564604, 966.6127671, 5399.1858334, 41.5670826
0.548699999999999, 3184.3088033, 16.8569043, 970.9792995, 5384.5795136, 41.4599349
0.551799999999999, 3194.3580540, 17.0582474, 975.3254278, 5370.0904111, 41.3522792
0.554899999999999, 3204.3108007, 17.2604856, 979.6512975, 5355.7174861, 41.2441552
0.557999999999999, 3214.1678977, 17.4636147, 983.9570530, 5341.4597090, 41.1356015
0.561099999999999, 3223.9301917, 17.6676305, 988.2428371, 5327.3160604, 41.0266549
0.564199999999999, 3233.5985219, 17.8725290, 992.5087918, 5313.2855309, 40.9173512
0.567299999999999, 3243.1737200, 18.0783061, 996.7550577, 5299.3671213, 40.8077246
0.570399999999999, 3252.6566104, 18.2849577, 1000.9817742, 5285.5598418, 40.6978079
0.573499999999999, 3262.0480101, 18.4924798, 1005.1890795, 5271.8627125, 40.5876330
0.576599999999999, 3271.3487288, 18.7008684, 1009.3771107, 5258.2747630, 40.4772303
0.579699999999999, 3280.5595692, 18.9101196, 1013.5460036, 5244.7950324, 40.3666290
0.582799999999999, 3289.6813267, 19.1202294, 1017.6958931, 5231.4225689, 40.2558575
0.585899999999999, 3298.7147897, 19.3311939, 1021.8269126, 5218.1564301, 40.1449426
0.588999999999999, 3307.6607397, 19.5430092, 1025.9391947, 5204.9956826, 40.0339106
0.592099999999999, 3316.5199512, 19.7556716, 1030.0328707, 5191.9394021, 39.9227862
0.595199999999999, 3325.2931919, 19.9691771, 1034.1080708, 5178.9866730, 39.8115937
0.598299999999999, 3333.9812226, 20.1835219, 1038.1649242, 5166.1365886, 39.7003561
0.601399999999999, 3342.5847975, 20.3987024, 1042.2035588, 5153.3882507, 39.5890954
0.604499999999999, 3351.1046640, 20.6147147, 1046.2241017, 5140.7407697, 39.4778330
0.607599999999999, 3359.5415631, 20.8315551, 1050.2266787, 5128.1932646, 39.3665893
0.610699999999999, 3367.8962290, 21.0492200, 1054.2114147, 5115.7448627, 39.2553839
0.613799999999999, 3376.1693897, 21.2677056, 1058.1784335, 5103.3946993, 39.1442355
0.616899999999999, 3384.3617665, 21.4870083, 1062.1278577, 5091.1419183, 39.0331622
0.619999999999999, 3392.4740745, 21.7071245, 1066.0598092, 5078.9856712, 38.9221813
0.623099999999999, 3400.5070225, 21.9280507, 1069.9744085, 5066.9251178, 38.8113093
0.626199999999999, 3408.4613130, 22.1497832, 1073.8717755, 5054.9594258, 38.7005621
0.629299999999999, 3416.3376422, 22.3723185, 1077.7520286, 5043.0877703, 38.5899550
0.632399999999999, 3424.1367004, 22.5956530, 1081.6152858, 5031.3093347, 38.4795024
0.635499999999999, 3431.8591716, 22.8197834, 1085.4616635, 5019.6233094, 38.3692184
0.638599999999999, 3439.5057339, 23.0447061, 1089.2912776, 5008.0288928, 38.2591163
0.641699999999999, 3447.0770595, 23.2704176, 1093.1042429, 4996.5252906, 38.1492089
0.644799999999999, 3454.5738145, 23.4969146, 1096.9006731, 4985.1117157, 38.0395083
0.647899999999999, 3461.9966592, 23.7241937, 1100.6806811, 4973.7873885, 37.9300264
0.650999999999999, 3469.3462482, 23.9522514, 1104.4443787, 4962.5515366, 37.8207742
0.654099999999999, 3476.6232301, 24.1810844, 1108.1918771, 4951.4033946, 37.7117624
0.657199999999999, 3483.8282482, 24.4106894, 1111.9232862, 4940.3422042, 37.6030012
0.660299999999999, 3490.9619397, 24.6410631, 1115.6387153, 4929.3672141, 37.4945004
0.663399999999999, 3498.0249365, 24.8722022, 1119.3382724, 4918.4776799, 37.3862692
0.666499999999999, 3505.0178648, 25.1041034, 1123.0220651, 4907.6728640, 37.2783165
0.669599999999999, 3511.9413453, 25.3367635, 1126.6901998, 4896.9520356, 37.1706507
0.672699999999999, 3518.7959935, 25.5701793, 1130.3427819, 4886.3144705, 37.0632798
0.675799999999999, 3525.5824191, 25.8043476, 1133.9799163, 4875.7594511, 36.9562115
0.678899999999999, 3532.3012266, 26.0392651, 1137.6017068, 4865.2862665, 36.8494531
0.681999999999999, 3538.9530155, 26.2749288, 1141.2082563, 4854.8942120, 36.7430115
0.685099999999999, 3545.5383795, 26.5113354, 1144.7996670, 4844.5825897, 36.6368932
0.688199999999999, 3552.0579075, 26.7484820, 1148.3760401, 4834.3507076, 36.5311045
0.691299999999999, 3558.5121830, 26.9863654, 1151.9374761, 4824.1978804, 36.4256514
0.694399999999999, 3564.9017847, 27.2249825, 1155.4840747, 4814.1234286, 36.3205393
0.697499999999999, 3571.2272857, 27.4643303, 1159.0159346, 4804.1266791, 36.2157737
0.700599999999999, 3577.4892546, 27.7044057, 1162.5331539, 4794.2069648, 36.1113596
0.703699999999999, 3583.6882547, 27.9452057, 1166.0358296, 4784.3636247, 36.0073017
0.706799999999999, 3589.8248445, 28.1867274, 1169.5240583, 4774.5960036, 35.9036045
0.709899999999999, 3595.8995776, 28.4289678, 1172.9979354, 4764.9034524, 35.8002722
0.712999999999999, 3601.9130026, 28.6719239, 1176.4575559, 4755.2853277, 35.6973087
0.716099999999999, 3607.8656635, 28.9155928, 1179.9030136, 4745.7409919, 35.5947180
0.719199999999999, 3613.7580994, 29.1599716, 1183.3344020, 4736.2698131, 35.4925033
0.722299999999998, 3619.5908447, 29.4050573, 1186.7518134, 4726.8711652, 35.3906681
0.725399999999998, 3625.3644291, 29.6508472, 1190.1553397, 4717.5444276, 35.2892155
0.728499999999998, 3631.0793778, 29.8973383, 1193.5450719, 4708.2889852, 35.1881482
0.731599999999998, 3636.7362113, 30.1445279, 1196.9211000, 4699.1042285, 35.0874690
0.734699999999998, 3642.3354454, 30.3924130, 1200.2835138, 4689.9895535, 34.9871803
0.737799999999998, 3647.8775917, 30.6409909, 1203.6324020, 4680.9443614, 34.8872845
0.740899999999998, 3653.3631570, 30.8902589, 1206.9678525, 4671.9680589, 34.7877836
0.743999999999998, 3658.7926439, 31.1402141, 1210.2899528, 4663.0600579, 34.6886798
0.747099999999998, 3664.1665505, 31.3908538, 1213.5987895, 4654.2197756, 34.5899746
0.750199999999998, 3669.4853705, 31.6421753, 1216.8944485, 4645.4466344, 34.4916698
0.753299999999998, 3674.7495934, 31.8941759, 1220.1770151, 4636.7400617, 34.3937669
0.756399999999998, 3679.9597043, 32.1468529, 1223.4465736, 4628.0994902, 34.2962672
0.759499999999998, 3685.1161842, 32.4002035, 1226.7032081, 4619.5243573, 34.1991720
0.762599999999998, 3690.2195097, 32.6542252, 1229.9470017, 4611.0141058, 34.1024822
0.765699999999998, 3695.2701534, 32.9089153, 1233.1780368, 4602.5681832, 34.0061988
0.768799999999998, 3700.2685837, 33.1642712, 1236.3963953, 4594.1860419, 33.9103227
0.771899999999998, 3705.2152648, 33.4202903, 1239.6021582, 4585.8671392, 33.8148546
0.774999999999998, 3710.1106570, 33.6769699, 1242.7954063, 4577.6109371, 33.7197950
0.778099999999998, 3714.9552166, 33.9343076, 1245.9762191, 4569.4169026, 33.6251444
0.781199999999998, 3719.7493956, 34.1923007, 1249.1446761, 4561.2845071, 33.5309032
0.784299999999998, 3724.4936426, 34.4509467, 1252.3008557, 4553.2132269, 33.4370717
0.787399999999998, 3729.1884017, 34.7102431, 1255.4448358, 4545.2025427, 33.3436500
0.790499999999998, 3733.8341134, 34.9701874, 1258.5766937, 4537.2519401, 33.2506382
0.793599999999998, 3738.4312144, 35.2307770, 1261.6965062, 4529.3609089, 33.1580363
0.796699999999998, 3742.9801375, 35.4920096, 1264.8043493, 4521.5289437, 33.0658442
0.799799999999998, 3747.4813116, 35.7538826, 1267.9002984, 4513.7555431, 32.9740618
0.802899999999998, 3751.9351621, 36.0163936, 1270.9844283, 4506.0402107, 32.8826887
0.805999999999998, 3756.3421105, 36.2795401, 1274.0568133, 4498.3824540, 32.7917246
0.809099999999998, 3760.7025747, 36.5433198, 1277.1175270, 4490.7817850, 32.7011692
0.812199999999998, 3765.0169688, 36.8077303, 1280.1666425, 4483.2377200, 32.6110219
0.815299999999998, 3769.2857036, 37.0727691, 1283.2042322, 4475.7497796, 32.5212822
0.818399999999998, 3773.5091859, 37.3384339, 1286.2303680, 4468.3174884, 32.4319495
0.821499999999998, 3777.6878192, 37.6047224, 1289.2451212, 4460.9403754, 32.3430232
